tipo de impresion,papel (codigo),papel (nombre),tamano (codigo),cobertura (codigo),faz (codigo),precio unitario,disponible
laser,obra_80,Obra 80gr,A4,lineas,sf,600,TRUE
laser,obra_80,Obra 80gr,A4,lineas,df,1100,TRUE
laser,obra_80,Obra 80gr,A4,mixto,sf,800,TRUE
laser,obra_80,Obra 80gr,A4,mixto,df,1400,TRUE
laser,obra_80,Obra 80gr,A4,pleno,sf,1100,TRUE
laser,obra_80,Obra 80gr,A4,pleno,df,2000,TRUE
laser,obra_80,Obra 80gr,A3,lineas,sf,1300,TRUE
laser,obra_80,Obra 80gr,A3,lineas,df,2300,TRUE
laser,obra_80,Obra 80gr,A3,mixto,sf,1600,TRUE
laser,obra_80,Obra 80gr,A3,mixto,df,2800,TRUE
laser,obra_80,Obra 80gr,A3,pleno,sf,2100,TRUE
laser,obra_80,Obra 80gr,A3,pleno,df,4000,TRUE
laser,chambril_90,Chambril 90gr,A4,,sf,1700,TRUE
laser,chambril_90,Chambril 90gr,A4,,df,2300,TRUE
laser,ilustracion_115,Ilustración 115gr,A4,,sf,1700,TRUE
laser,ilustracion_115,Ilustración 115gr,A4,,df,2300,TRUE
laser,chambril_150,Chambril 150gr,A4,,sf,1800,TRUE
laser,chambril_150,Chambril 150gr,A4,,df,2400,TRUE
laser,ilustracion_150,Ilustración 150gr,A4,,sf,1800,TRUE
laser,ilustracion_150,Ilustración 150gr,A4,,df,2400,TRUE
laser,chambril_180,Chambril 180gr,A4,,sf,2000,TRUE
laser,chambril_180,Chambril 180gr,A4,,df,2500,TRUE
laser,ilustracion_210,Ilustración 210gr,A4,,sf,2000,TRUE
laser,ilustracion_210,Ilustración 210gr,A4,,df,2500,TRUE
laser,chambril_240,Chambril 240gr,A4,,sf,2400,TRUE
laser,chambril_240,Chambril 240gr,A4,,df,2900,TRUE
laser,ilustracion_300,Ilustración 300gr,A4,,sf,2400,TRUE
laser,ilustracion_300,Ilustración 300gr,A4,,df,2900,TRUE
laser,kraft_125,Kraft 125gr,A4,,sf,2300,TRUE
laser,kraft_125,Kraft 125gr,A4,,df,3100,TRUE
laser,vegetal,Vegetal,A4,,sf,2500,TRUE
laser,autoadhesivo_obra,Autoadhesivo obra,A4,,sf,2100,TRUE
laser,autoadhesivo_brillo,Autoadhesivo brillo (ilustración),A4,,sf,2100,TRUE
laser,chambril_90,Chambril 90gr,SA3,,sf,2600,TRUE
laser,chambril_90,Chambril 90gr,SA3,,df,3400,TRUE
laser,ilustracion_115,Ilustración 115gr,SA3,,sf,2600,TRUE
laser,ilustracion_115,Ilustración 115gr,SA3,,df,3400,TRUE
laser,chambril_150,Chambril 150gr,SA3,,sf,3000,TRUE
laser,chambril_150,Chambril 150gr,SA3,,df,4000,TRUE
laser,ilustracion_150,Ilustración 150gr,SA3,,sf,3000,TRUE
laser,ilustracion_150,Ilustración 150gr,SA3,,df,4000,TRUE
laser,chambril_180,Chambril 180gr,SA3,,sf,3400,TRUE
laser,chambril_180,Chambril 180gr,SA3,,df,4300,TRUE
laser,ilustracion_210,Ilustración 210gr,SA3,,sf,3400,TRUE
laser,ilustracion_210,Ilustración 210gr,SA3,,df,4300,TRUE
laser,chambril_240,Chambril 240gr,SA3,,sf,4000,TRUE
laser,chambril_240,Chambril 240gr,SA3,,df,4800,TRUE
laser,ilustracion_300,Ilustración 300gr,SA3,,sf,4000,TRUE
laser,ilustracion_300,Ilustración 300gr,SA3,,df,4800,TRUE
laser,kraft_125,Kraft 125gr,SA3,,sf,3900,TRUE
laser,kraft_125,Kraft 125gr,SA3,,df,4700,TRUE
laser,vegetal,Vegetal,SA3,,sf,4900,TRUE
laser,autoadhesivo_obra,Autoadhesivo obra,SA3,,sf,4100,TRUE
laser,autoadhesivo_brillo,Autoadhesivo brillo (ilustración),SA3,,sf,4100,TRUE
laser,opp,OPP,SA3,,sf,13900,TRUE
laser,cartulina_encapada_280,Cartulina encapada 280gr,SA3,,sf,5400,TRUE
laser,cartulina_encapada_280,Cartulina encapada 280gr,SA3,,df,7600,TRUE
plotter,plotter_obra_90,Obra 90gr,A2,lineas,,1900,TRUE
plotter,plotter_obra_90,Obra 90gr,A2,mixto,,2800,TRUE
plotter,plotter_obra_90,Obra 90gr,A2,pleno,,4590,TRUE
plotter,plotter_cartulina_130,Cartulina 130gr,A2,lineas,,3850,TRUE
plotter,plotter_cartulina_130,Cartulina 130gr,A2,mixto,,4750,TRUE
plotter,plotter_cartulina_130,Cartulina 130gr,A2,pleno,,6530,TRUE
plotter,plotter_cartulina_170,Cartulina 170gr,A2,lineas,,4460,TRUE
plotter,plotter_cartulina_170,Cartulina 170gr,A2,mixto,,5360,TRUE
plotter,plotter_cartulina_170,Cartulina 170gr,A2,pleno,,7140,TRUE
plotter,plotter_fotografico_180,Fotográfico 180gr,A2,lineas,,9500,TRUE
plotter,plotter_fotografico_180,Fotográfico 180gr,A2,mixto,,10400,TRUE
plotter,plotter_fotografico_180,Fotográfico 180gr,A2,pleno,,12180,TRUE
plotter,plotter_vegetal,Vegetal 90gr,A2,lineas,,4890,TRUE
plotter,plotter_vegetal,Vegetal 90gr,A2,mixto,,5780,TRUE
plotter,plotter_vegetal,Vegetal 90gr,A2,pleno,,7560,TRUE
plotter,plotter_poliester_100,Poliéster 100 mic,A2,lineas,,14960,TRUE
plotter,plotter_poliester_100,Poliéster 100 mic,A2,mixto,,15860,TRUE
plotter,plotter_poliester_100,Poliéster 100 mic,A2,pleno,,17640,TRUE
plotter,plotter_obra_90,Obra 90gr,A1,lineas,,3120,TRUE
